id,user,in_reply_to_status_id,in_reply_to_user_id,sentiment
1242399228661555201,1241657434818727938,1242398432217751553,1241657434818727938,1.6445
1242399229605220352,402589880,1242079414223069184,499258640,-1.1221
1242399234231431169,1180260313242800128,1242395293364047873,728840770090729473,-1.7295
1242399238845325312,1005797022757277697,1242296014633086976,25073877,-0.4138
1242399246990471168,1182947209,1242399245681881088,1182947209,1.9131
1242399255303614464,272213602,1242265319428759553,14190948,-0.4180
1242399259124797441,1156135802864361474,1242395366852567041,1010202103279706113,-1.1715
1242399268075438081,1068503600,1242359420157386752,960355120176345089,1.4206
1242399275616616452,23405865,1242333541574180865,23405865,-1.3304
1242399276405108737,1203662485603020801,1242397089625042944,1203662485603020801,-1.9253
1242399279957843968,2885473660,1242395805153136640,99564663,0.6995
1242399280171802624,1471888548,1242397422355169281,47119606,0.2779
1242399283065823233,818172523535859712,1242396656303300610,818172523535859712,-1.5215
1242399292590936064,945587249906794496,1242382775287599105,945587249906794496,1.3276
1242399292846788609,312411355,1242399192594575360,312411355,1.7689
1242399293014593537,179805241,1242399153491079173,179805241,-0.9551
1242399293081825280,295897727,1242381883620679680,1101247689696649216,0.1403
1242399297393451008,200554117,1242329223680815105,186441519,-1.2007
1242399297229828096,974762470068822016,1242089788766814212,123109597,-1.1124
1242399301155917824,395356171,1242353151015034880,91581387,-1.9278
1242399309439602688,1085851244680351745,1242399306784608256,1085851244680351745,-1.9575
1242399309485793283,701552634,1242398866529488896,979854048525520896,-0.9877
1242399309498376194,275951571,1242200226032738306,16364240,-1.8540
1242399309812785157,1218696301602197505,1242394528050376704,268528079,0.8297
1242399314133090306,1053551944743223296,1242396824129814528,1183694592433983489,0.9356
1242399317891088384,109280332,1242392807509233664,109280332,0.3102
1242399322454491136,320741770,1242371775817830401,320741770,1.0599
1242399322475565060,3207714171,1242331068059000832,82478716,1.3303
1242399322454409216,192986583,1242288379561041920,262412308,0.6787
1242399322521640961,2313366979,1242396886331535363,2313366979,-0.3185
1242399322366451712,3304399187,1242348136242319361,1183529393756475393,-0.7180
1242399326246182912,991472195795935232,1242210370267348993,49682880,0.4773
1242399326455955456,849711345264209920,1242376233721245696,1195430251683352576,1.9066
1242399326426533888,939894186412789760,1242378984916234240,355408966,-1.2877
1242399330381815808,365210253,1242179611582136328,269837440,-1.7562
1242399334395604993,570537080,1242376412658413568,1194253393889333249,-0.0425
1242399342943764481,4026460395,1242266670976110597,1206552976854323200,-0.3429
1242399343203815424,362022429,1242398934347153411,356299886,-0.5852
1242399343602270208,219768802,1242387759098200064,28436011,-1.6893
1242399347259498497,2550045690,1242398403293638658,304224469,0.2693
1242399347448283136,1241946720029667328,1242394374224392192,25073877,0.8110
1242399351420280833,995749554476630021,1235146040539402240,110312278,-1.2845
1242399359402041346,217112314,1242399357200027649,217112314,1.2147
1242399363860762624,1241722766925205505,1242357957414789124,1190628114554114048,-0.2818
1242399368289935360,1194572607925960704,1242399268415180800,1194572607925960704,-0.4871
1242399368646279168,217112314,1242399366704271360,217112314,1.2012
1242399372379332608,914910704,1242358789661229056,894567745655902209,0.5093
1242399372966539264,402589880,1242094147357597699,1155866062367461376,0.7681
1242399372270112768,217112314,1242399371116736513,217112314,-1.3224
1242399376435281920,452877328,1242399016022769664,1321029128,1.0392
1242399376556863490,132490359,1242366258391273472,2796089361,-1.1884
1242399380595855361,346696663,1157893160548229120,100737960,-1.7366
1242399385293434880,1217359557850058752,1242399026911182849,1217359557850058752,0.8596
1242399392570671104,1209467745110245376,1240853562239913984,1209467745110245376,0.1572
1242399393401225216,1635525948,1242376722294718465,6134882,0.4759
1242399393527070723,367208625,1242262981829951488,216646024,1.8532
1242399397994016769,2884227712,1242390687112474625,457581440,-0.8560
1242399401752113152,21895559,1242163405240373248,176644153,1.4231
1242399405744979968,53053484,1242242205932310535,2800581040,-1.1650
1242399405845680128,36353564,1242399403090075648,36353564,0.4789
1242399410107097088,449971279,1242365487259975683,2152572284,-1.5377
1242399410509709313,402712259,1242382942997032960,461370816,1.3378
1242399414905438208,578389906,1242290038928560128,14436030,1.7876
1242399415010123776,945587249906794496,1242399292590936064,945587249906794496,0.4737
1242399422673309696,20763907,1242399421393965056,20763907,-0.7717
1242399423193329664,36608895,1242394492277268483,994583943675629568,1.0472
1242399426523660289,242078217,1242383713519927297,491461409,-0.9467
1242399426787913728,971409602091864067,1242240709467537411,910278157315567616,0.2618
1242399427215663104,1023581694132150277,1242399391652237312,1023581694132150277,-1.1259
1242399427215712259,1122509466606481416,1242389150168420352,49411634,0.2912
1242399427253264384,1199827603240017920,1242293340151873536,25073877,1.4937
1242399430994563073,157923213,1242396278106902529,366987179,1.9945
1242399431288373251,1142175450,1242398069712396288,5496172,1.6578
1242399435407200257,9643542,1242398250268794885,9643542,0.8927
1242399435637895170,486567716,1242399027364335616,486567716,0.4383
1242399443527307264,1974372470,1242390726207561729,4871317955,1.6903
1242399444253003779,4531337354,1241500378581078018,953758452,-1.2310
1242399456429031424,877282441290973185,1242391328752836611,877282441290973185,-0.1159
1242399456378540032,3139704306,1242384069456883712,2835451658,-1.0885
1242399456777179137,824055142135791617,1242398538627194881,824055142135791617,0.8064
1242399464838574080,2849823800,1241981625233268736,118051370,1.4997
1242399464976977921,360013137,1242226945863155713,529606550,1.7776
1242399465329303552,1553330341,1242395426705244160,593799452,1.1154
1242399469657886724,1234636458931245057,1242189448999206912,1044301474665238528,0.2775
1242399477182402566,773631225819004928,1242397181476290561,1231616169217609729,1.3428
1242399477618663424,1169945525275299841,1242399379761377280,1169945525275299841,1.8062
1242399477945655297,1236564772302118912,1242396074171604992,2596143056,-1.0875
1242399493879988224,498159506,1241421581026549760,20891396,0.9671
1242399494173573126,772007819361021952,1242125725949399046,1886881579,0.6320
1242399494446018561,3160490156,1242397571823202306,734497294909722624,-1.8237
1242399498300727296,1203594578210762752,1242392646225707008,21202851,1.5352
1242399498757947393,1197211203031965697,1242367270472396800,620688229,-1.8669
1242399502511849472,1240092473927532547,1242398180052000770,759251,-1.5748
1242399506357862400,1238289070234595328,1242396426656788480,438460849,-1.8973
1242399506273939463,1241960521059860480,1242396304547827712,240649814,-1.2894
1242399506987130880,21178623,1242168313494585347,25260604,-0.5348
1242399507112837122,3139704306,1241697994724032513,4515563482,-0.3336
1242399515111497728,148775404,1242395774211829760,774195721000087552,1.2278
1242399515480637440,3308198456,1242244133416296450,1104043980,1.1469
1242399519205216257,213649678,1242333790808289280,773637704,-1.2043
1242399523495911431,1891476582,1242352177340874752,4656625635,-1.3074
1242399527677632514,735896277687369730,1242150258014027781,1339835893,-1.7998
1242399531796516865,1173899643962503168,1242170187647942656,807227669213548544,-0.1740
1242399531758759937,724626638441459712,1242397035833241601,724626638441459712,0.5937
1242399531917930497,1242392969270812673,1242349253524983808,478432912,0.3309
1242399540214411268,773631225819004928,1242397136337190912,857862103268548608,-1.6140
1242399548745670657,205292397,1242385248572317696,766364509095260161,1.2689
1242399557071392768,1068064691954565120,1242398718592258048,2170772566,0.8524
1242399560611368961,4705186831,1242302524562051073,709371605860929537,-0.5368
1242399561236144128,930466246893563904,1242370923212070916,138822469,-0.7380
1242399566000865282,766095901941260288,1242357341154131968,1095262953417265153,1.5929
1242399569859805184,499151258,1242370370855997441,577174030,1.8334
1242399569511669760,881163485845098496,1242398793083105281,881163485845098496,-0.6842
1242399578034450432,76493986,1242398824510955520,76493986,0.0801
1242399578143576064,1645736004,1242392708796350464,22910295,-1.5429
1242399578512658435,887264138547916803,1242397811162910721,21388284,0.6954
1242399582165839872,780402530,1242399063976411138,3244834067,1.8430
1242399586251046914,418595232,1242399342360760320,418595232,0.1730
1242399591078772736,880384014,1242398977833697282,112209825,-0.3247
1242399594652340224,106690828,1242378139461877760,592763403,-0.2093
1242399597907107841,399016002,1242397521500082176,399016002,-0.3597
1242399615703560192,4830077139,1242394374224392192,25073877,1.7820
1242399620111560704,1485945498,1242337472140455938,1202493049336713216,-0.3691
1242399620552146948,2847987653,1231890731859615745,1222135873027936256,-0.5133
1242399624045850627,1099819564081147904,1242389950856757254,1099819564081147904,-1.4860
1242399628504502272,2346329563,1242391294661537794,2351137329,1.9037
1242399636565954562,256566038,1242389313716977668,286132274,0.1539
1242399636700028931,47563067,1242392643105173504,1139333509,1.5469
1242399636905656322,782565816,1242170365788467206,32974114,-1.3943
1242399640416288768,1242181935067267080,1242398507874398209,24802340,-1.5661
1242399645315235840,1096182609955168257,1242399629100154881,1096182609955168257,-0.2911
1242399648997916672,2463445122,1242347087196573696,2530363285,-1.7188
1242399653288710145,1237331333430611970,1242087253113024514,2216242221,-0.5101
1242399674218303488,2880125738,1242399156469215233,2880125738,1.0106
1242399673966563330,4705186831,1242007127285260289,509744485,0.7586
1242399678492299267,309448282,1242399676294447104,309448282,1.8150
1242399682472505344,1169291096377057280,1242305610713952256,15848824,-1.5078
1242399682074206208,2698096603,1242362243062194176,1048510162527559680,-1.5669
1242399686776012801,2768137828,1242396376442511360,163808974,1.8927
1242399686830559234,1095357869841674247,1242259281619058690,3856305322,-0.9872
1242399695651012609,924523737466073088,1242374100657422336,27404490,-0.9198
1242399695684677632,1241111695382151183,1242398524710453249,133663801,-0.7913
1242399699971330048,3699687257,1242399697395908609,3699687257,1.0266
1242399703523786752,916226831107358720,1242394633621078017,916226831107358720,1.8779
1242399712239648769,267021319,1242398738737438720,267021319,-1.7241
1242399725426544640,1228070730375553027,1242396341659189255,1086163723327340545,-1.0494
1242399729415327745,1181538879070969862,1242399728215736321,1181538879070969862,-0.4301
1242399729457287168,712071794933440512,1241893361532964866,278145569,1.9531
1242399729566265344,15406575,1242398911194705920,21486053,1.8540
1242399729604067328,1007168459741057024,1242395119753596929,3055366126,-0.0751
1242399732846256129,369744317,1242160332036079617,785344027,-0.9021
1242399733047595013,2383922430,1242199425432408064,288363743,-1.6457
1242399733324361729,414889134,1242077431105798148,1200451909406121984,0.3435
1242399737283837952,3013513438,1242399518127280128,3013513438,-0.1634
1242399737606803458,66483176,1242293070818947078,32726776,1.8894
1242399740571971584,943839176151257088,1242357306286903298,282695161,-0.2272
1242399741629038592,1057515942001999873,1242344220163289093,111325515,-0.5808
1242399741909929984,870863476490555392,1242399675019186177,870863476490555392,-0.4960
1242399741880807424,900690631600852992,1242397491477319683,890653225430528005,1.2533
1242399745827581953,773631225819004928,1242396918052839426,1053686297737351169,1.3689
1242399749619298304,1041401280516816897,1242392054824665093,217847790,-0.0813
1242399750206488577,1233417139765284864,1242224264683667462,94208950,1.3352
1242399758846537733,1445177300,1242398992006139905,64705123,1.5494
1242399766819958787,1241001736770207744,1241968300306780161,18071520,0.3109
1242399770041364482,29935980,1242398914105561089,29935980,1.0471
1242399770796122113,475943289,1242331518095089664,52976232,0.7578
1242399774814470144,2495812759,1242366643990343681,216299334,-1.7303
1242399775024021510,33143169,1242369309839671302,39453212,1.6842
1242399775170969600,1163009492293955587,1242393443533373440,45314710,0.4218
1242399779281223680,1242356441937149953,1242394703640682496,1951017218,-0.0579
1242399787858759680,1042168771790733313,1242397080137748480,779742611628175360,0.7710
1242399787477078016,897384878227865600,1242048735527481347,897384878227865600,-0.8974
1242399788240338944,1066326681399558144,1242339980137111552,419356257,-1.3447
1242399796230524929,46252858,1242317663898124288,67389524,-1.4720
1242399796385677312,861878932941008896,1242380819592773633,52360480,0.3447
1242399800504594434,532603860,1241832023787962370,4914384040,1.9951
1242399804254121984,88537281,1242279598655561728,1046316084897308672,1.8153
1242399803927154688,2730862776,1242394374224392192,25073877,-0.8081
1242399804543496193,734595423285981184,1242399802953879556,734595423285981184,1.3760
1242399808389894145,1394341147,1239628913506168832,43287329,-0.2620
1242399808993681408,936567497708396545,1242399600264097792,2473524691,0.6766
1242399809065103361,4141787475,1242394374224392192,25073877,0.4987
1242399809161424896,319932205,1242395917661003777,319932205,-0.8802
1242399812420538368,1212808745631174656,1242393333651124226,1212808745631174656,0.3695
1242399816971419648,3889497675,1242255681660518401,743274734838644737,-0.8909
1242399817344487424,797761076595068928,1241847607451934721,2844510786,-0.5916
1242399821442490368,15336599,1242399140098838528,10889262,0.3338
1242399821740335110,1035233325944856577,1242389736410341376,139184729,-0.2371
1242399825099780096,982664924,1242396623038074881,190638538,1.2567
1242399825246765056,1203594578210762752,1242383459877871616,982631863087960070,1.1608
1242399825393594368,1157782100818497536,1242203219461373952,17825891,0.3299
1242399829432643585,1912316617,1242351416447991808,749572533423378432,0.8013
1242399838529970178,1144632661291352066,1242397381766680579,1144632661291352066,-1.7977
1242399838777434112,3283092067,1242312049343909888,3283092067,1.1549
1242399838605586432,717754742,1240613214850887682,13267912,1.1127
1242399854795554817,1153276158596800512,1242206558576168969,2301220502,1.5079
1242399858675326978,274876681,1242396768027004928,75716063,-0.9076
1242399859539206145,874575905129156608,1242398595803803648,86437069,0.9971
1242399867533737989,16958445,1241827221653856257,840163803811594241,0.2810
1242399872025690113,165296324,1242354099665793024,1054111474971435008,1.2775
